Designator,Mid X,Mid Y,Layer,Rotation
AE1,12.09,2.15,T,0.0
C1,6.43,32.45,T,90.0
C10,14.84,28.45,T,90.0
C11,14.47,33.01,T,0.0
C12,14.47,29.51,T,180.0
C13,14.47,30.91,T,0.0
C14,14.47,30.21,T,180.0
C15,12.55,30.57,T,90.0
C16,7.67,1.9,T,45.0
C17,3.44,2.13,T,135.0
C18,9.01,28.87,T,270.0
C19,9.71,28.87,T,270.0
C2,5.57,30.48,T,270.0
C20,14.46,32.31,T,180.0
C21,14.47,31.61,T,180.0
C22,11.13,30.57,T,90.0
C23,12.97,32.66,T,90.0
C24,14.16,24.22,T,45.0
C25,13.67,24.72,T,45.0
C26,3.05,20.87,T,270.0
C27,3.58,19.51,T,225.0
C28,4.07,19.01,T,225.0
C29,4.09,15.72,T,225.0
C3,4.51,32.45,T,90.0
C30,4.58,18.02,T,135.0
C31,4.07,24.3,T,45.0
C32,14.74,21.86,T,270.0
C4,3.27,30.48,T,270.0
C5,12.03,6.53,T,315.0
C6,11.29,6.12,T,315.0
C7,10.43,30.57,T,90.0
C8,14.67,25.22,T,315.0
C9,13.46,8.25,T,315.0
D1,5.47,32.56,T,90.0
D2,3.55,32.56,T,90.0
D3,8.89,32.59,T,270.0
D4,5.79,15.08,T,135.0
D5,4.08,13.38,T,45.0
J1,8.89,37.54,T,180.0
J5,1.27,39.37,B,180.0
J6,16.51,39.37,B,180.0
J7,1.27,24.13,B,180.0
J8,16.51,24.13,B,180.0
Q1,3.77,8.04,T,135.0
Q2,3.48,16.32,T,45.0
R1,10.7,5.71,T,135.0
R10,6.59,26.82,T,225.0
R11,4.58,23.8,T,225.0
R12,7.38,16.09,T,0.0
R13,7.08,26.32,T,45.0
R2,13.18,13.38,T,45.0
R3,13.68,12.88,T,45.0
R4,14.4,8.86,T,270.0
R5,3.03,6.26,T,90.0
R6,11.84,30.57,T,90.0
R7,12.96,7.75,T,135.0
R8,12.46,7.25,T,135.0
R9,5.07,18.52,T,135.0
U1,6.73,30.52,T,0.0
U10,8.89,19.66,B,90.0
U11,12.69,16.18,T,315.0
U2,4.42,30.52,T,0.0
U3,8.88,30.57,T,90.0
U4,12.27,27.06,T,135.0
U5,8.89,10.69,T,135.0
U6,5.74,4.36,T,45.0
U7,11.84,32.54,T,90.0
U8,8.89,21.59,T,225.0
U9,8.89,10.69,B,315.0
